participant_id,date,time,sensor,z,x,y
U3884527492,2026-03-02,09:23:33,lamp.accelerometer,-0.712310791015625,-0.065826416015625,-0.6523590087890625
U3884527492,2026-03-01,10:56:59,lamp.accelerometer,-0.75689697265625,0.647247314453125,0.061309814453125
U3884527492,2026-03-01,08:51:48,lamp.accelerometer,0.9067230224609375,0.440643310546875,0.1543121337890625
U3884527492,2026-03-01,06:11:34,lamp.accelerometer,-0.4197845458984375,0.9338531494140625,0.010467529296875
U3884527492,2026-02-28,18:55:10,lamp.accelerometer,0.10113525390625,1.0538330078125,0.130279541015625
U3884527492,2026-02-28,15:28:29,lamp.accelerometer,-0.1237945556640625,0.2122344970703125,0.9631195068359375
U3884527492,2026-02-28,14:04:48,lamp.accelerometer,-0.9911346435546875,-0.00848388671875,-0.0104522705078125
U3884527492,2026-02-28,08:26:29,lamp.accelerometer,-0.9494476318359375,-0.2722625732421875,-0.2628173828125
U3884527492,2026-02-27,23:47:46,lamp.accelerometer,-1.116607666015625,0.019744873046875,-0.245574951171875
U3884527492,2026-02-27,23:02:02,lamp.accelerometer,-0.5993804931640625,-9.1552734375e-05,-0.764495849609375
U3884527492,2026-02-27,22:19:46,lamp.accelerometer,-0.2825164794921875,-0.0027008056640625,-0.9630126953125
U3884527492,2026-02-27,21:49:04,lamp.accelerometer,-0.623382568359375,-0.0479583740234375,-0.8157196044921875
U3884527492,2026-02-27,20:50:45,lamp.accelerometer,-0.994720458984375,-0.0649261474609375,-0.2357940673828125
U3884527492,2026-02-27,19:32:09,lamp.accelerometer,0.75592041015625,0.5372467041015625,-0.426116943359375
U3884527492,2026-02-27,18:55:28,lamp.accelerometer,-0.98333740234375,0.518707275390625,-0.5092010498046875
U3884527492,2026-02-27,16:43:23,lamp.accelerometer,-0.72174072265625,0.433837890625,0.4220733642578125
U3884527492,2026-02-27,15:01:02,lamp.accelerometer,-0.764068603515625,-0.056243896484375,-0.6412353515625
U3884527492,2026-02-27,13:05:33,lamp.accelerometer,-0.6715545654296875,-0.167510986328125,-0.7166595458984375
U3884527492,2026-02-27,08:50:16,lamp.accelerometer,-0.774261474609375,-0.1405487060546875,-0.67205810546875
U3884527492,2026-02-27,08:24:26,lamp.accelerometer,0.11871337890625,-0.011993408203125,0.9961700439453125
